name,longitude,latitude,prov,date,key
Bombycilla garrulus,-73.224821,44.484994,inat,2016-04-22,3007369
Bombycilla garrulus,-73.201539,44.476765,inat,2016-04-15,3004735
Bombycilla garrulus,-73.194233,44.472241,inat,2016-04-22,3002122
Bombycilla garrulus,-73.191086,44.483247,inat,2016-04-21,3001327
Bombycilla garrulus,-73.22024,44.477753,inat,2016-04-20,2999369
Bombycilla garrulus,-73.195118,44.473205,inat,2016-04-21,2994012
Bombycilla garrulus,-73.239959,44.506667,inat,2016-04-20,2990131
Bombycilla garrulus,-72.61177,43.757064,inat,2016-04-20,2985905
Bombycilla garrulus,-73.192363,44.474562,inat,2016-04-14,2985024
Bombycilla garrulus,-72.425685,44.3701933333,inat,2016-04-14,2970002
Bombycilla garrulus,-73.21494,44.468822,inat,2016-04-17,2954895
Bombycilla garrulus,-73.213234,44.476061,inat,2016-04-16,2954598
Bombycilla garrulus,-73.192114,44.474493,inat,2016-04-15,2951611
Bombycilla garrulus,-73.206325,44.495526,inat,2016-04-14,2935648
Bombycilla garrulus,-73.193847,44.474672,inat,2016-04-14,2933720
Bombycilla garrulus,-73.274431,44.533961,inat,2016-04-13,2929973
Bombycilla garrulus,-72.625704,43.588033,inat,2016-04-12,2926334
Bombycilla garrulus,-73.194029,44.473824,inat,2016-04-04,2901033
Bombycilla garrulus,-73.207117,44.484362,inat,2016-04-08,2900215
Bombycilla garrulus,-73.1939866667,44.4737916667,inat,2016-04-08,2898887
Bombycilla garrulus,-73.188944,44.454369,inat,2016-04-03,2897103
Bombycilla garrulus,-72.665845,43.923829,inat,2016-04-07,2895153
Bombycilla garrulus,-73.186144,44.47489,inat,2016-04-04,2889463
Bombycilla garrulus,-73.20537,44.485071,inat,2016-04-02,2881874
Bombycilla garrulus,-73.267907,44.535603,inat,2016-03-27,2873357
Bombycilla garrulus,-72.209222,44.937894,inat,2016-03-31,2860412
Bombycilla garrulus,-73.194405,44.470832,inat,2016-03-30,2855197
Bombycilla garrulus,-72.962521,43.578766,inat,2016-03-30,2854819
Bombycilla garrulus,-73.201938,44.477636,inat,2016-03-30,2853050
Bombycilla garrulus,-72.318317,43.696512,inat,2016-03-29,2851665
Bombycilla garrulus,-72.290419,43.707758,inat,2016-02-13,2844863
Bombycilla garrulus,-73.194206,44.471008,inat,2016-03-28,2844068
Bombycilla garrulus,-72.4683366667,44.3384166667,inat,2016-03-25,2839571
Bombycilla garrulus,-73.194923,44.476707,inat,2016-03-18,2808646
